complaint,sentiment,category
Appreciate the fast response to the complaint about Anna Salai road.,0,Other
Road widening project at Anna Salai is going well. Good job!,0,Other
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Sign Missing/Damaged
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The new road markings on Connaught Place street are very clear.,0,Sign Missing/Damaged
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Flooding
Road widening project at Old Airport Road is going well. Good job!,0,Road Damage
Road diversion in effect near Linking Road due to pipeline work.,1,Road Damage
The municipality has announced repairs for Old Airport Road road next week.,1,Sign Missing/Damaged
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Other
The road in MG Road is full of potholes. Government please fix!,2,Road Damage
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
The road in Connaught Place is full of potholes. Government please fix!,2,Pothole
No streetlights on Nehru Street road. Very unsafe at night!,2,Sign Missing/Damaged
Road damage near MG Road hospital is causing problems for ambulances!,2,Road Damage
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Noise Pollution
Street lighting improved on Anna Salai road. Feeling safer now.,0,Traffic Light Issue
Road closure scheduled for Linking Road bypass for bridge inspection.,1,Flooding
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Traffic Light Issue
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Sign Missing/Damaged
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Flooding
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
severe flooding on rajiv chowk road every time it rains. pathetic!,2,Traffic Light Issue
Traffic lights at Linking Road junction are working perfectly now. Great improvement!,0,Road Damage
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Sign Missing/Damaged
traffic light at old airport road is broken for 2 weeks. very dangerous!,2,Road Damage
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Pothole
No streetlights on Brigade Road road. Very unsafe at night!,2,Traffic Light Issue
Road closure scheduled for Gandhi Nagar bypass for bridge inspection.,1,Sign Missing/Damaged
Road sign missing near Anna Salai school zone. Children at risk!,2,Road Damage
No streetlights on Anna Salai road. Very unsafe at night!,2,Pothole
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Road Damage
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Traffic Light Issue
road damage near mg road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Huge pothole on MG Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about Linking Road road.,0,Other
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Flooding
huge pothole on rajiv chowk road causing accidents. no action taken!,2,Sign Missing/Damaged
the road in linking road is full of potholes. government please fix!,2,Sign Missing/Damaged
Road sign missing near MG Road school zone. Children at risk!,2,Sign Missing/Damaged
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Traffic Light Issue
road diversion in effect near sv road due to pipeline work.,1,Sign Missing/Damaged
traffic chaos at connaught place due to broken signal. needs urgent fix!,2,Flooding
Speed limit has been changed to 40 kmph near Connaught Place.,1,Noise Pollution
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Traffic Light Issue
The municipality has announced repairs for Old Airport Road road next week.,1,Noise Pollution
Road damage near SV Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Road damage near Linking Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
speed limit has been changed to 40 kmph near nehru street.,1,Flooding
The municipality has announced repairs for Rajiv Chowk road next week.,1,Noise Pollution
the new road markings on linking road street are very clear.,0,Other
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Pothole
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Other
No streetlights on MG Road road. Very unsafe at night!,2,Pothole
Traffic lights at Linking Road junction are working perfectly now. Great improvement!,0,Road Damage
Road diversion in effect near Anna Salai due to pipeline work.,1,Pothole
No streetlights on Connaught Place road. Very unsafe at night!,2,Flooding
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Traffic Light Issue
The road in SV Road is full of potholes. Government please fix!,2,Traffic Light Issue
Street lighting improved on Anna Salai road. Feeling safer now.,0,Sign Missing/Damaged
The road on Linking Road is completely damaged. Immediate repair needed!,2,Road Damage
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Sign Missing/Damaged
The road in Brigade Road is full of potholes. Government please fix!,2,Pothole
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Road Damage
road diversion in effect near old airport road due to pipeline work.,1,Other
road sign missing near gandhi nagar school zone. children at risk!,2,Road Damage
Traffic signal at Gandhi Nagar is under maintenance.,1,Pothole
Traffic signal at Old Airport Road is under maintenance.,1,Road Damage
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Road Damage
Traffic lights at Linking Road junction are working perfectly now. Great improvement!,0,Other
Street lighting improved on Linking Road road. Feeling safer now.,0,Sign Missing/Damaged
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Road Damage
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Pothole
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Flooding
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
The road in SV Road is full of potholes. Government please fix!,2,Road Damage
The road on SV Road is completely damaged. Immediate repair needed!,2,Flooding
The road on Linking Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Road diversion in effect near Connaught Place due to pipeline work.,1,Noise Pollution
Speed limit has been changed to 40 kmph near Gandhi Nagar.,1,Other
New traffic rules implemented at Anna Salai junction from today.,1,Flooding
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Road Damage
Speed limit has been changed to 40 kmph near MG Road.,1,Sign Missing/Damaged
The pothole on Connaught Place road was fixed quickly. Thank you!,0,Sign Missing/Damaged
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Flooding
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Road Damage
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Traffic lights at MG Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Road damage near Linking Road hospital is causing problems for ambulances!,2,Pothole
The new road markings on SV Road street are very clear.,0,Other
New traffic rules implemented at Connaught Place junction from today.,1,Flooding
Road damage near Old Airport Road hospital is causing problems for ambulances!,2,Pothole
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Traffic Light Issue
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Pothole
No streetlights on Connaught Place road. Very unsafe at night!,2,Road Damage
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Flooding
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Flooding
Traffic signal at Old Airport Road is under maintenance.,1,Illegal Parking
Road damage near Gandhi Nagar hospital is causing problems for ambulances!,2,Road Damage
The municipality has announced repairs for Connaught Place road next week.,1,Sign Missing/Damaged
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Traffic Light Issue
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Traffic Light Issue
The new road markings on Gandhi Nagar street are very clear.,0,Road Damage
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Traffic Light Issue
No streetlights on Brigade Road road. Very unsafe at night!,2,Pothole
garbage dumped on rajiv chowk road. municipality is not cleaning!,2,Road Damage
huge pothole on linking road road causing accidents. no action taken!,2,Sign Missing/Damaged
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Flooding
New traffic rules implemented at Old Airport Road junction from today.,1,Traffic Light Issue
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Flooding
The road in MG Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Street lighting improved on MG Road road. Feeling safer now.,0,Traffic Light Issue
The road in Linking Road is full of potholes. Government please fix!,2,Flooding
road damage near gandhi nagar hospital is causing problems for ambulances!,2,Traffic Light Issue
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Road Damage
Road sign missing near Old Airport Road school zone. Children at risk!,2,Traffic Light Issue
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Flooding
road closure scheduled for brigade road bypass for bridge inspection.,1,Sign Missing/Damaged
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Road damage near Linking Road hospital is causing problems for ambulances!,2,Flooding
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
Road widening project at Nehru Street is going well. Good job!,0,Traffic Light Issue
The road in Brigade Road is full of potholes. Government please fix!,2,Traffic Light Issue
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Other
Road diversion in effect near SV Road due to pipeline work.,1,Illegal Parking
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Flooding
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Pothole
Appreciate the fast response to the complaint about Connaught Place road.,0,Other
There is construction work happening on Old Airport Road road.,1,Flooding
Road diversion in effect near Linking Road due to pipeline work.,1,Noise Pollution
Street lighting improved on MG Road road. Feeling safer now.,0,Other
Speed limit has been changed to 40 kmph near Brigade Road.,1,Other
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Road Damage
Huge pothole on MG Road road causing accidents. No action taken!,2,Road Damage
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Road Damage
New traffic rules implemented at Connaught Place junction from today.,1,Road Damage
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Road Damage
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Traffic Light Issue
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Road Damage
garbage dumped on sv road road. municipality is not cleaning!,2,Pothole
New road signs installed in MG Road. Very helpful for drivers.,0,Traffic Light Issue
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The municipality has announced repairs for Old Airport Road road next week.,1,Pothole
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Traffic Light Issue
No streetlights on Linking Road road. Very unsafe at night!,2,Sign Missing/Damaged
The road on MG Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
The road in Nehru Street is full of potholes. Government please fix!,2,Flooding
New traffic rules implemented at Connaught Place junction from today.,1,Traffic Light Issue
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Flooding
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Anna Salai.,1,Sign Missing/Damaged
The municipality has announced repairs for Rajiv Chowk road next week.,1,Pothole
New road signs installed in Brigade Road. Very helpful for drivers.,0,Traffic Light Issue
Road sign missing near SV Road school zone. Children at risk!,2,Road Damage
The pothole on Gandhi Nagar road was fixed quickly. Thank you!,0,Sign Missing/Damaged
The municipality has announced repairs for Old Airport Road road next week.,1,Flooding
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Flooding
Traffic signal at Gandhi Nagar is under maintenance.,1,Sign Missing/Damaged
The road on Linking Road is completely damaged. Immediate repair needed!,2,Flooding
Speed limit has been changed to 40 kmph near Connaught Place.,1,Pothole
The road on MG Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Traffic signal at Gandhi Nagar is under maintenance.,1,Noise Pollution
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Traffic Light Issue
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Pothole
huge pothole on mg road road causing accidents. no action taken!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near SV Road.,1,Traffic Light Issue
There is construction work happening on Linking Road road.,1,Illegal Parking
The road in Rajiv Chowk has been repaired. Excellent work by the municipality!,0,Other
Street lighting improved on Anna Salai road. Feeling safer now.,0,Traffic Light Issue
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Road Damage
No streetlights on Nehru Street road. Very unsafe at night!,2,Sign Missing/Damaged
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Traffic Light Issue
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Sign Missing/Damaged
traffic lights at gandhi nagar junction are working perfectly now. great improvement!,0,Traffic Light Issue
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road in Nehru Street is full of potholes. Government please fix!,2,Flooding
Road sign missing near MG Road school zone. Children at risk!,2,Sign Missing/Damaged
The municipality has announced repairs for Gandhi Nagar road next week.,1,Flooding
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Flooding
The road in MG Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
No streetlights on Nehru Street road. Very unsafe at night!,2,Traffic Light Issue
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Road Damage
Street lighting improved on Connaught Place road. Feeling safer now.,0,Other
traffic chaos at gandhi nagar due to broken signal. needs urgent fix!,2,Flooding
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Flooding
Road closure scheduled for Linking Road bypass for bridge inspection.,1,Road Damage
The new road markings on Connaught Place street are very clear.,0,Traffic Light Issue
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Road Damage
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Flooding
Speed limit has been changed to 40 kmph near Brigade Road.,1,Sign Missing/Damaged
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The road in SV Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Traffic Light Issue
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Traffic Light Issue
The road in Brigade Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
No streetlights on Connaught Place road. Very unsafe at night!,2,Flooding
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Flooding
Traffic chaos at SV Road due to broken signal. Needs urgent fix!,2,Flooding
The municipality has announced repairs for Rajiv Chowk road next week.,1,Sign Missing/Damaged
The road in Old Airport Road is full of potholes. Government please fix!,2,Road Damage
traffic lights at sv road junction are working perfectly now. great improvement!,0,Road Damage
new traffic rules implemented at nehru street junction from today.,1,Illegal Parking
Road sign missing near Brigade Road school zone. Children at risk!,2,Flooding
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Pothole
road sign missing near rajiv chowk school zone. children at risk!,2,Pothole
No streetlights on Old Airport Road road. Very unsafe at night!,2,Road Damage
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Road Damage
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
The new road markings on MG Road street are very clear.,0,Traffic Light Issue
Road widening project at Linking Road is going well. Good job!,0,Other
Huge pothole on SV Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Road widening project at Nehru Street is going well. Good job!,0,Road Damage
There is construction work happening on Connaught Place road.,1,Pothole
The municipality has announced repairs for Anna Salai road next week.,1,Pothole
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Flooding
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Flooding
The road in Linking Road is full of potholes. Government please fix!,2,Traffic Light Issue
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Pothole
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Road Damage
New road signs installed in MG Road. Very helpful for drivers.,0,Traffic Light Issue
severe flooding on connaught place road every time it rains. pathetic!,2,Sign Missing/Damaged
The road in Anna Salai is full of potholes. Government please fix!,2,Flooding
Road sign missing near Old Airport Road school zone. Children at risk!,2,Traffic Light Issue
New traffic rules implemented at Linking Road junction from today.,1,Traffic Light Issue
no streetlights on sv road road. very unsafe at night!,2,Road Damage
The municipality has announced repairs for Connaught Place road next week.,1,Other
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Flooding
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Flooding
Traffic signal at Connaught Place is under maintenance.,1,Noise Pollution
New road signs installed in Brigade Road. Very helpful for drivers.,0,Traffic Light Issue
The municipality has announced repairs for Rajiv Chowk road next week.,1,Noise Pollution
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Pothole
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Flooding
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
the new road markings on connaught place street are very clear.,0,Sign Missing/Damaged
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Road Damage
There is construction work happening on Linking Road road.,1,Road Damage
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Pothole
New road signs installed in Anna Salai. Very helpful for drivers.,0,Other
New road signs installed in Linking Road. Very helpful for drivers.,0,Other
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Traffic lights at Brigade Road junction are working perfectly now. Great improvement!,0,Other
severe flooding on connaught place road every time it rains. pathetic!,2,Road Damage
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Pothole
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Traffic Light Issue
New traffic rules implemented at Old Airport Road junction from today.,1,Illegal Parking
There is construction work happening on SV Road road.,1,Sign Missing/Damaged
The road in Linking Road is full of potholes. Government please fix!,2,Traffic Light Issue
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
The road in Linking Road is full of potholes. Government please fix!,2,Flooding
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The new road markings on Connaught Place street are very clear.,0,Traffic Light Issue
Traffic chaos at SV Road due to broken signal. Needs urgent fix!,2,Road Damage
Road diversion in effect near Connaught Place due to pipeline work.,1,Sign Missing/Damaged
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Noise Pollution
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Traffic Light Issue
Traffic signal at Connaught Place is under maintenance.,1,Other
Speed limit has been changed to 40 kmph near SV Road.,1,Flooding
Street lighting improved on Linking Road road. Feeling safer now.,0,Road Damage
appreciate the fast response to the complaint about gandhi nagar road.,0,Road Damage
traffic chaos at anna salai due to broken signal. needs urgent fix!,2,Pothole
The road in SV Road is full of potholes. Government please fix!,2,Flooding
The new road markings on Brigade Road street are very clear.,0,Road Damage
Street lighting improved on Anna Salai road. Feeling safer now.,0,Road Damage
Appreciate the fast response to the complaint about Brigade Road road.,0,Road Damage
The road in Anna Salai has been repaired. Excellent work by the municipality!,0,Other
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Traffic signal at MG Road is under maintenance.,1,Other
There is construction work happening on Anna Salai road.,1,Flooding
traffic chaos at rajiv chowk due to broken signal. needs urgent fix!,2,Traffic Light Issue
The pothole on SV Road road was fixed quickly. Thank you!,0,Traffic Light Issue
Road sign missing near SV Road school zone. Children at risk!,2,Road Damage
Road closure scheduled for MG Road bypass for bridge inspection.,1,Sign Missing/Damaged
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Pothole
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Flooding
Road diversion in effect near Linking Road due to pipeline work.,1,Other
New road signs installed in Gandhi Nagar. Very helpful for drivers.,0,Sign Missing/Damaged
Street lighting improved on Nehru Street road. Feeling safer now.,0,Road Damage
There is construction work happening on Linking Road road.,1,Pothole
No streetlights on Connaught Place road. Very unsafe at night!,2,Flooding
Speed limit has been changed to 40 kmph near Brigade Road.,1,Noise Pollution
The pothole on Nehru Street road was fixed quickly. Thank you!,0,Sign Missing/Damaged
No streetlights on Old Airport Road road. Very unsafe at night!,2,Sign Missing/Damaged
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Pothole
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Illegal Parking
There is construction work happening on Linking Road road.,1,Pothole
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Illegal Parking
traffic light at connaught place is broken for 2 weeks. very dangerous!,2,Road Damage
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Pothole
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Flooding
Road sign missing near Anna Salai school zone. Children at risk!,2,Road Damage
Road widening project at Rajiv Chowk is going well. Good job!,0,Traffic Light Issue
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Traffic Light Issue
Road widening project at Rajiv Chowk is going well. Good job!,0,Traffic Light Issue
Street lighting improved on Rajiv Chowk road. Feeling safer now.,0,Sign Missing/Damaged
The road in Nehru Street is full of potholes. Government please fix!,2,Traffic Light Issue
Road damage near Linking Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
No streetlights on Linking Road road. Very unsafe at night!,2,Traffic Light Issue
The municipality has announced repairs for Connaught Place road next week.,1,Noise Pollution
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Pothole
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Flooding
Road sign missing near Brigade Road school zone. Children at risk!,2,Flooding
The pothole on Linking Road road was fixed quickly. Thank you!,0,Sign Missing/Damaged
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Noise Pollution
No streetlights on Nehru Street road. Very unsafe at night!,2,Traffic Light Issue
Road damage near Anna Salai hospital is causing problems for ambulances!,2,Flooding
road widening project at mg road is going well. good job!,0,Road Damage
Speed limit has been changed to 40 kmph near SV Road.,1,Traffic Light Issue
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Street lighting improved on SV Road road. Feeling safer now.,0,Traffic Light Issue
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Traffic Light Issue
the road on mg road is completely damaged. immediate repair needed!,2,Pothole
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Road Damage
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Road Damage
traffic chaos at old airport road due to broken signal. needs urgent fix!,2,Pothole
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Pothole
Traffic lights at MG Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Road sign missing near Linking Road school zone. Children at risk!,2,Sign Missing/Damaged
The pothole on MG Road road was fixed quickly. Thank you!,0,Traffic Light Issue
Appreciate the fast response to the complaint about Rajiv Chowk road.,0,Other
Road damage near Linking Road hospital is causing problems for ambulances!,2,Road Damage
Severe flooding on MG Road road every time it rains. Pathetic!,2,Traffic Light Issue
no streetlights on anna salai road. very unsafe at night!,2,Traffic Light Issue
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Pothole
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Road Damage
Road diversion in effect near Anna Salai due to pipeline work.,1,Flooding
Road diversion in effect near Old Airport Road due to pipeline work.,1,Other
Road diversion in effect near Linking Road due to pipeline work.,1,Illegal Parking
Road damage near MG Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Appreciate the fast response to the complaint about Brigade Road road.,0,Traffic Light Issue
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Pothole
No streetlights on Anna Salai road. Very unsafe at night!,2,Pothole
Road closure scheduled for SV Road bypass for bridge inspection.,1,Illegal Parking
traffic light at connaught place is broken for 2 weeks. very dangerous!,2,Road Damage
Road sign missing near MG Road school zone. Children at risk!,2,Flooding
The road in Brigade Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Street lighting improved on Rajiv Chowk road. Feeling safer now.,0,Traffic Light Issue
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Road Damage
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Sign Missing/Damaged
New traffic rules implemented at Nehru Street junction from today.,1,Illegal Parking
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Pothole
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Road Damage
Traffic lights at Gandhi Nagar junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Road closure scheduled for MG Road bypass for bridge inspection.,1,Noise Pollution
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near SV Road.,1,Flooding
The road in Connaught Place is full of potholes. Government please fix!,2,Flooding
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Road Damage
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Pothole
The road in Nehru Street is full of potholes. Government please fix!,2,Pothole
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Sign Missing/Damaged
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Other
Huge pothole on MG Road road causing accidents. No action taken!,2,Pothole
Road widening project at Connaught Place is going well. Good job!,0,Sign Missing/Damaged
the road on old airport road is completely damaged. immediate repair needed!,2,Traffic Light Issue
the road in gandhi nagar is full of potholes. government please fix!,2,Road Damage
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Road Damage
Road damage near SV Road hospital is causing problems for ambulances!,2,Road Damage
Street lighting improved on Anna Salai road. Feeling safer now.,0,Traffic Light Issue
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Flooding
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Sign Missing/Damaged
New traffic rules implemented at SV Road junction from today.,1,Road Damage
Street lighting improved on Nehru Street road. Feeling safer now.,0,Other
the new road markings on gandhi nagar street are very clear.,0,Sign Missing/Damaged
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Road Damage
The road on MG Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Flooding
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Pothole
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Road Damage
the road in connaught place has been repaired. excellent work by the municipality!,0,Traffic Light Issue
The municipality has announced repairs for Brigade Road road next week.,1,Pothole
Garbage dumped on MG Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Flooding
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Road Damage
New traffic rules implemented at MG Road junction from today.,1,Other
The new road markings on Brigade Road street are very clear.,0,Other
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Sign Missing/Damaged
